winner,loser,method
Steve Garcia,Shayilan Nuerdanbieke,KO (body kick and punches)
Sam Hughes,Jaqueline Amorim,"Decision (unanimous) (29–28, 29–28, 29–28)"
Cory Sandhagen,Marlon Vera,"Decision (split) (47–48, 50–45, 49–46)"
Holly Holm,Yana Santos,"Decision (unanimous) (30–26, 30–27, 30–27)"
Nate Landwehr,Austin Lingo,Submission (rear-naked choke)
Maycee Barber,Andrea Lee,"Decision (split) (28–29, 29–28, 30–27)"
Albert Duraev,Chidi Njokuani,"Decision (split) (28–29, 29–28, 29–28)"
Daniel Pineda,Tucker Lutz,Submission (guillotine choke)
Lucas Alexander,Steven Peterson,"Decision (unanimous) (30–27, 30–27, 30–27)"
Trevin Giles,Preston Parsons,"Decision (split) (29–28, 28–29, 29–28)"
C.J. Vergara,Daniel da Silva,TKO (punches)
Victor Altamirano,Vinicius Salvador,"Decision (unanimous) (29–28, 29–28, 29–28)"
Leon Edwards(c),Kamaru Usman,"Decision (majority) (48–46, 48–46, 47–47)"
Justin Gaethje,Rafael Fiziev,"Decision (majority) (29–28, 29–28, 28–28)"
Gunnar Nelson,Bryan Barberena,Submission (armbar)
Jennifer Maia,Casey O'Neill,"Decision (unanimous) (30–27, 29–28, 29–28)"
Marvin Vettori,Roman Dolidze,"Decision (unanimous) (29–28, 29–28, 30–27)"
Jack Shore,Makwan Amirkhani,Submission (rear-naked choke)
Chris Duncan,Omar Morales,"Decision (split) (27–30, 29–28, 29–28)"
Yanal Ashmouz,Sam Patterson,KO (punches)
Muhammad Mokaev,Jafel Filho,Submission (neck crank)
Lerone Murphy,Gabriel Santos,"Decision (split) (28–29, 29–28, 29–28)"
Christian Leroy Duncan,Duško Todorović,TKO (knee injury)
Jake Hadley,Malcolm Gordon,TKO (punches)
Joanne Wood,Luana Carolina,"Decision (split) (28–29, 30–27, 29–28)"
Jai Herbert,Ľudovít Klein,"Draw (majority) (29–27, 28–28, 28–28)"
Veronica Hardy,Juliana Miller,"Decision (unanimous) (30–27, 30–27, 30–27)"
Merab Dvalishvili,Petr Yan,"Decision (unanimous) (50–45, 50–45, 50–45)"
Alexander Volkov,Alexander Romanov,TKO (punches)
Nikita Krylov,Ryan Spann,Submission (triangle choke)
Jonathan Martinez,Said Nurmagomedov,"Decision (unanimous) (29–28, 29–28, 29–28)"
Mario Bautista,Guido Cannetti,Submission (rear-naked choke)
Vitor Petrino,Anton Turkalj,"Decision (unanimous) (30–26, 30–27, 30–27)"
Karl Williams,Łukasz Brzeski,"Decision (unanimous) (30–26, 30–26, 30–27)"
Davey Grant,Raphael Assunção,Technical Submission (inverted triangle choke)
Josh Fremd,Sedriques Dumas,Submission (guillotine choke)
Victor Henry,Tony Gravely,"Decision (split) (30–27, 28–29, 29–28)"
Ariane Lipski,JJ Aldrich,"Decision (unanimous) (30–27, 30–27, 30–27)"
Bruno Gustavo da Silva,Tyson Nam,Technical Submission (rear-naked choke)
Carlston Harris,Jared Gooden,"Decision (unanimous) (30–27, 30–27, 30–27)"
Jon Jones,Ciryl Gane,Submission (guillotine choke)
Alexa Grasso,Valentina Shevchenko(c),Submission (face crank)
