winner,loser,method
Jason Dent,Cameron Dollar,Submission (anaconda choke)
Rich Franklin,Wanderlei Silva,"Decision (unanimous) (30–27, 29–28, 30–27)"
Cain Velasquez,Cheick Kongo,"Decision (unanimous) (30–27, 30–27, 30–27)"
Mirko Cro Cop,Mostapha al-Turk,TKO (punches)
Mike Swick,Ben Saunders,TKO (punches)
Spencer Fisher,Caol Uno,"Decision (unanimous) (29–28, 29–28, 29–28)"
Dan Hardy,Marcus Davis,"Decision (split) (29–28, 28–29, 29–28)"
Terry Etim,Justin Buchholz,Submission (D'Arce choke)
Dennis Siver,Dale Hartt,Submission (rear-naked choke)
Paul Taylor,Peter Sobotta,"Decision (unanimous) (30–27, 30–27, 30–27)"
Paul Kelly,Rolando Delgado,"Decision (unanimous) (29–28, 29–28, 29–28)"
Stefan Struve,Denis Stojnić,Submission (rear-naked choke)
John Hathaway,Rick Story,"Decision (unanimous) (29–28, 30–27, 29–28)"
Lyoto Machida,Rashad Evans(c),KO (punches)
Matt Hughes,Matt Serra,"Decision (unanimous) (29-28, 29-28, 29-28)"
Drew McFedries,Xavier Foupa-Pokam,TKO (punches)
Chael Sonnen,Dan Miller,"Decision (unanimous) (30–27, 30–27, 30–27)"
Frankie Edgar,Sean Sherk,"Decision (unanimous) (30-27, 30-27, 30-27)"
Brock Larson,Mike Pyle,Submission (arm-triangle choke)
Tim Hague,Pat Barry,Submission (guillotine choke)
Kyle Bradley,Phillipe Nover,TKO (punches)
Krzysztof Soszynski,André Gusmão,KO (punch)
Yoshiyuki Yoshida,Brandon Wolff,Submission (guillotine choke)
George Roop,Dave Kaplan,"Decision (split) (28–29, 30–27, 30–27)"
Anderson Silva(c),Thales Leites,"Decision (unanimous) (49-46, 48-47, 50-46)"
Sam Stout,Matt Wiman,"Decision (unanimous) (29–28, 29–28, 29–28)"
Maurício Rua,Chuck Liddell,TKO (punches)
Krzysztof Soszynski,Brian Stann,Submission (kimura)
Cheick Kongo,Antoni Hardonk,TKO (punches)
Luiz Cane,Steve Cantwell,"Decision (unanimous) (30–27, 30–27, 29–28)"
Denis Kang,Xavier Foupa-Pokam,"Decision (unanimous) (30–27, 30–27, 30–27)"
Nate Quarry,Jason MacDonald,TKO (elbows)
Ed Herman,David Loiseau,"Decision (unanimous) (30–26, 30–27, 30–27)"
Mark Bocek,David Bielkheden,Submission (rear-naked choke)
T. J. Grant,Ryo Chonan,"Decision (split) (30–27, 28–29, 29–28)"
Eliot Marshall,Vinny Magalhães,"Decision (unanimous) (29–28, 30–27, 30–27)"
Martin Kampmann,Carlos Condit,"Decision (split) (29–28, 28–29, 29–28)"
Ryan Bader,Carmelo Marrero,"Decision (unanimous) (30–27, 30–27, 30–27)"
Tyson Griffin,Rafael dos Anjos,"Decision (unanimous) (30–27, 30–27, 30–27)"
Cole Miller,Junie Browning,Submission (guillotine choke)
Gleison Tibau,Jeremy Stephens,"Decision (unanimous) (30–27, 30–27, 29–28)"
Ricardo Almeida,Matt Horwich,"Decision (unanimous) (30–27, 30–27, 30–27)"
Brock Larson,Jesse Sanders,Submission (rear-naked choke)
Tim Credeur,Nick Catone,Submission (guillotine choke)
Jorge Rivera,Nissen Osterneck,"Decision (split) (29–28, 28–29, 29–28)"
Rob Kimmons,Joe Vedepo,Technical Submission (guillotine choke)
Aaron Simpson,Tim McKenzie,TKO (punches)
Quinton Jackson,Keith Jardine,"Decision (unanimous) (29–28, 29–28, 30–27)"
Shane Carwin,Gabriel Gonzaga,KO (punch)
Matt Brown,Pete Sell,TKO (punches)
Matt Hamill,Mark Muñoz,KO (head kick)
Gray Maynard,Jim Miller,"Decision (unanimous) (30–27, 30–27, 30–27)"
Tamdan McCrory,Ryan Madigan,TKO (punches)
Kendall Grove,Jason Day,TKO (punches and elbows)
Jason Brilz,Tim Boetsch,"Decision (unanimous) (29–28, 29–28, 29–28)"
Brandon Vera,Michael Patt,TKO (leg kicks)
Shane Nelson,Aaron Riley,TKO (punches)
Diego Sanchez,Joe Stevenson,"Decision (unanimous) (29–28, 30–27, 30–27)"
Dan Hardy,Rory Markham,KO (punch)
Nate Marquardt,Wilson Gouveia,TKO (knee and punches)
Demian Maia,Chael Sonnen,Submission (triangle choke)
Paulo Thiago,Josh Koscheck,KO (punch)
Terry Etim,Brian Cobb,TKO (head kick and punches)
Junior dos Santos,Stefan Struve,TKO (punches)
Evan Dunham,Per Eklund,TKO (punches)
Mike Ciesnolevicz,Neil Grove,Submission (heel hook)
Paul Kelly,Troy Mandaloniz,"Decision (unanimous) (30–27, 30–27, 30–28)"
Joe Lauzon,Jeremy Stephens,Submission (armbar)
Cain Velasquez,Denis Stojnić,TKO (punches)
Josh Neer,Mac Danzig,Submission (triangle choke)
Anthony Johnson,Luigi Fioravanti,TKO (punches)
Kurt Pellegrino,Rob Emerson,Submission (rear-naked choke)
Dan Miller,Jake Rosholt,Submission (guillotine choke)
Matt Veach,Matt Grice,TKO (punches)
Gleison Tibau,Rich Clementi,Submission (guillotine choke)
Nick Catone,Derek Downey,Submission (keylock)
Matthew Riddle,Steve Bruno,"Decision (unanimous) (29–28, 29–28, 29–28)"
Georges St-Pierre(c),B.J. Penn,TKO (doctor stoppage)
Lyoto Machida,Thiago Silva,KO (punch)
Jon Jones,Stephan Bonnar,"Decision (unanimous) (30–27, 29–28, 29–28)"
Karo Parisyan,Dong Hyun Kim,No Contest
Clay Guida,Nate Diaz,"Decision (split) (29–28, 28–29, 29–28)"
Jon Fitch,Akihiro Gono,"Decision (unanimous) (30–27, 30–27, 30–26)"
Thiago Tavares,Manvel Gamburyan,"Decision (unanimous) (29-28, 29-28, 29-28)"
John Howard,Chris Wilson,"Decision (split) (29–28, 28–29, 29–28)"
Jake O'Brien,Christian Wellisch,"Decision (split) (28–29, 29–28, 29–28)"
Dan Cramer,Matt Arroyo,"Decision (split) (29–28, 28–29, 29–28)"
Dan Henderson,Rich Franklin,"Decision (split) (29–28, 27–30, 29–28)"
Maurício Rua,Mark Coleman,TKO (punches)
Rousimar Palhares,Jeremy Horn,"Decision (unanimous) (30–27, 30–27, 30–27)"
Alan Belcher,Denis Kang,Submission (guillotine choke)
Marcus Davis,Chris Lytle,"Decision (split) (29–28, 28–29, 29–28)"
John Hathaway,Tom Egan,TKO (elbows)
Martin Kampmann,Alexandre Barros,TKO (punches)
Eric Schafer,Antonio Mendes,TKO (punches)
Tomasz Drwal,Ivan Serati,TKO (punches)
Dennis Siver,Nate Mohr,TKO (spinning back kick and punches)
Rashad Evans,Forrest Griffin(c),TKO (punches)
Frank Mir,Antônio Rodrigo Nogueira(ic),TKO (punches)
C. B. Dollaway,Mike Massenzio,TKO (punches)
Quinton Jackson,Wanderlei Silva,KO (punch)
Cheick Kongo,Mostapha al-Turk,TKO (punches)
Yushin Okami,Dean Lister,"Decision (unanimous) (30–27, 30–27, 30–27)"
Antoni Hardonk,Mike Wessel,TKO (punches)
Matt Hamill,Reese Andy,TKO (punches)
Brad Blackburn,Ryo Chonan,"Decision (unanimous) (29–28, 29–28, 29–28)"
Pat Barry,Dan Evensen,TKO (leg kicks)
Efrain Escudero,Phillipe Nover,"Decision (unanimous) (29–28, 29–28, 29–28)"
Ryan Bader,Vinny Magalhães,TKO (punches)
Anthony Johnson,Kevin Burns,KO (head kick)
Wilson Gouveia,Jason MacDonald,TKO (submission to strikes)
Junie Browning,Dave Kaplan,Submission (armbar)
Krzysztof Soszynski,Shane Primm,Submission (kimura)
Eliot Marshall,Jules Bruchez,Submission (rear-naked choke)
Tom Lawlor,Kyle Kingsbury,"Decision (unanimous) (29–28, 29–28, 29–28)"
Shane Nelson,George Roop,"Decision (split) (29–28, 28–29, 29–28)"
Rolando Delgado,John Polakowski,Submission (guillotine choke)
Josh Koscheck,Yoshiyuki Yoshida,KO (punch)
Mike Swick,Jonathan Goulet,KO (punches)
Steve Cantwell,Razak Al-Hassan,Technical submission (armbar)
Tim Credeur,Nate Loughran,TKO (rib injury)
Jim Miller,Matt Wiman,"Decision (unanimous) (30–27, 30–26, 30–27)"
Luigi Fioravanti,Brodie Farber,"Decision (unanimous) (30–27, 30–27, 30–27)"
Steve Bruno,Johnny Rees,Submission (rear-naked choke)
Ben Saunders,Brandon Wolff,TKO (knees)
Dale Hartt,Corey Hill,TKO (broken leg)
Justin McCully,Eddie Sanchez,"Decision (unanimous) (29–28, 30–27, 30–27)"
Brock Lesnar,Randy Couture(c),TKO (punches)
Kenny Florian,Joe Stevenson,Submission (rear-naked choke)
Dustin Hazelett,Tamdan McCrory,Submission (armbar)
Gabriel Gonzaga,Josh Hendricks,TKO (punches)
Demian Maia,Nate Quarry,Submission (rear-naked choke)
Aaron Riley,Jorge Gurgel,"Decision (unanimous) (29–28, 29–28, 29–28)"
Jeremy Stephens,Rafael dos Anjos,KO (punches)
Mark Bocek,Alvin Robinson,Submission (rear-naked choke)
Matt Brown,Ryan Thomas,Submission (armbar)
Anderson Silva(c),Patrick Côté,TKO (knee injury)
Thiago Alves,Josh Koscheck,"Decision (unanimous) (30–27, 29–28, 30–27)"
Gray Maynard,Rich Clementi,"Decision (unanimous) (30–27, 30–27, 30–27)"
Junior dos Santos,Fabrício Werdum,TKO (punches)
Sean Sherk,Tyson Griffin,"Decision (unanimous) (30–27, 29–28, 29–28)"
Thales Leites,Drew McFedries,Submission (rear-naked choke)
Spencer Fisher,Shannon Gugerty,Submission (triangle choke)
Dan Miller,Matt Horwich,"Decision (unanimous) (29–28, 29–28, 29–28)"
Hermes França,Marcus Aurélio,"Decision (unanimous) (30–27, 29–28, 29–28)"
Pete Sell,Josh Burkman,"Decision (unanimous) (29–28, 29–28, 29–28)"
Michael Bisping,Chris Leben,"Decision (unanimous) (30–27, 30–27, 29–28)"
Keith Jardine,Brandon Vera,"Decision (split) (28–29, 29–28, 29–28)"
Luiz Cane,Rameau Thierry Sokoudjou,TKO (punches)
Chris Lytle,Paul Taylor,"Decision (unanimous) (29–28, 30–27, 29–28)"
Marcus Davis,Paul Kelly,Submission (guillotine choke)
Dan Hardy,Akihiro Gono,"Decision (split) (29–28, 28–29, 29–28)"
Shane Carwin,Neil Wain,TKO (punches)
David Bielkheden,Jess Liaudin,"Decision (unanimous) (29–28, 29–28, 30–27)"
Terry Etim,Sam Stout,"Decision (unanimous) (29–28, 29–28, 30–27)"
Jim Miller,David Baron,Submission (rear-naked choke)
Per Eklund,Samy Schiavo,Submission (rear-naked choke)
Nate Diaz,Josh Neer,"Decision (split) (28–29, 29–28, 29–28)"
Clay Guida,Mac Danzig,"Decision (unanimous) (30–27, 29–28, 29–28)"
Alan Belcher,Ed Herman,"Decision (unanimous) (29–28, 29–28, 29–28)"
Eric Schafer,Houston Alexander,Submission (arm-triangle choke)
Alessio Sakara,Joe Vedepo,KO (head kick)
Wilson Gouveia,Ryan Jensen,Submission (armbar)
Joe Lauzon,Kyle Bradley,TKO (punches)
Jason Brilz,Brad Morris,TKO (punches)
Mike Massenzio,Drew McFedries,Submission (kimura)
Dan Miller,Rob Kimmons,Submission (rear-naked choke)
Rashad Evans,Chuck Liddell,KO (punch)
Rich Franklin,Matt Hamill,TKO (body kick and punches)
Dan Henderson,Rousimar Palhares,"Decision (unanimous) (30–27, 30–27, 29–28)"
Nate Marquardt,Martin Kampmann,TKO (punches)
Dong Hyun Kim,Matt Brown,"Decision (split) (29–28, 28–29, 29–28)"
Kurt Pellegrino,Thiago Tavares,"Decision (unanimous) (29–27, 29–27, 29–28)"
Tim Boetsch,Michael Patt,TKO (punches)
Jason MacDonald,Jason Lambert,Submission (rear-naked choke)
Ryo Chonan,Roan Carneiro,"Decision (split) (29–28, 28–29, 29–28)"
Georges St-Pierre(c),Jon Fitch,"Decision (unanimous) (50–43, 50–44, 50–44)"
Brock Lesnar,Heath Herring,"Decision (unanimous) (30–26, 30–26, 30–26)"
Rob Emerson,Manvel Gamburyan,KO (punches)
Kenny Florian,Roger Huerta,"Decision (unanimous) (30–27, 30–27, 30–27)"
Demian Maia,Jason MacDonald,Submission (rear-naked choke)
Tamdan McCrory,Luke Cummo,"Decision (unanimous) (29–28, 30–27, 30–27)"
Cheick Kongo,Dan Evensen,TKO (punches)
Jon Jones,André Gusmão,"Decision (unanimous) (30–27, 29–28, 30–27)"
Chris Wilson,Steve Bruno,"Decision (unanimous) (30–27, 30–27, 30–27)"
Ben Saunders,Ryan Thomas,Submission (armbar)
Anderson Silva,James Irvin,TKO (punches)
Brandon Vera,Reese Andy,"Decision (unanimous) (30–27, 29–28, 30–27)"
Frankie Edgar,Hermes França,"Decision (unanimous) (30–27, 30–27, 30–27)"
Cain Velasquez,Jake O'Brien,TKO (punches)
Kevin Burns,Anthony Johnson,TKO (eye poke)
C.B. Dollaway,Jesse Taylor,Submission (Peruvian necktie)
Tim Credeur,Cale Yarbrough,TKO (punches)
Nate Loughran,Johnny Rees,Submission (triangle choke)
Shannon Gugerty,Dale Hartt,Submission (rear-naked choke)
Rory Markham,Brodie Farber,KO (head kick)
Brad Blackburn,James Giboo,TKO (punches)
Forrest Griffin,Quinton Jackson(c),"Decision (unanimous) (48–46, 48–46, 49–46)"
Patrick Côté,Ricardo Almeida,Decision (split)
Joe Stevenson,Gleison Tibau,Submission (guillotine choke)
Josh Koscheck,Chris Lytle,Decision (unanimous)
Tyson Griffin,Marcus Aurélio,Decision (unanimous)
Gabriel Gonzaga,Justin McCully,Submission (Americana)
Melvin Guillard,Dennis Siver,TKO (punches)
Cole Miller,Jorge Gurgel,Submission (triangle choke)
Justin Buchholz,Corey Hill,Submission (rear-naked choke)
Kendall Grove,Evan Tanner,"Decision (split) (28–29, 30–26, 30–26)"
Amir Sadollah,C.B. Dollaway,Submission (armbar)
Diego Sanchez,Luigi Fioravanti,TKO (punches)
Spencer Fisher,Jeremy Stephens,"Decision (unanimous) (29–28, 29–28, 29–28)"
Matt Riddle,Dante Rivera,"Decision (unanimous) (30–27, 30–27, 29–28)"
Dustin Hazelett,Josh Burkman,Submission (armbar)
Drew McFedries,Marvin Eastman,TKO (punches)
Matt Brown,Matt Arroyo,TKO (punches)
Dean Lister,Jeremy Horn,Submission (guillotine choke)
Rob Kimmons,Rob Yundt,Submission (guillotine choke)
Thiago Alves,Matt Hughes,TKO (flying knee and punches)
Michael Bisping,Jason Day,TKO (punches)
Mike Swick,Marcus Davis,"Decision (unanimous) (29–27, 29–27, 29–27)"
Thales Leites,Nate Marquardt,"Decision (split) (28–27, 27–28, 28–27)"
Fabrício Werdum,Brandon Vera,TKO (punches)
Martin Kampmann,Jorge Rivera,Submission (guillotine choke)
Matt Wiman,Thiago Tavares,KO (punches)
Kevin Burns,Roan Carneiro,Submission (triangle choke)
Luiz Cane,Jason Lambert,TKO (punches)
Paul Taylor,Jess Liaudin,"Decision (split) (28–29, 29–28, 29–28)"
Antoni Hardonk,Eddie Sanchez,TKO (punches)
B.J. Penn(c),Sean Sherk,TKO (flying knee and punches)
Wanderlei Silva,Keith Jardine,KO (punches)
Goran Reljic,Wilson Gouveia,TKO (punches)
Lyoto Machida,Tito Ortiz,"Decision (unanimous) (30–27, 30–27, 30–27)"
Thiago Silva,Antonio Mendes,TKO (punches)
Rousimar Palhares,Ivan Salaverry,Submission (armbar)
Rameau Thierry Sokoudjou,Kazuhiro Nakamura,TKO (leg injury)
Rich Clementi,Terry Etim,"Decision (unanimous) (29–28, 29–28, 29–28)"
Yoshiyuki Yoshida,Jon Koppenhaver,Technical Submission (anaconda choke)
Dong Hyun Kim,Jason Tan,TKO (elbows)
Shane Carwin,Christian Wellisch,TKO (punch)
Georges St-Pierre(ic),Matt Serra(c),TKO (knees)
Rich Franklin,Travis Lutter,TKO (punches)
Nate Quarry,Kalib Starnes,"Decision (unanimous) (30–26, 30–27, 30–24)"
Michael Bisping,Charles McCarthy,TKO (injury)
Mac Danzig,Mark Bocek,Submission (rear-naked choke)
Jason Day,Alan Belcher,TKO (punches)
Jason MacDonald,Joe Doerksen,TKO (elbows)
Demian Maia,Ed Herman,Technical Submission (mounted triangle choke)
Rich Clementi,Sam Stout,"Decision (split) (29–27, 28–29, 29–28)"
Cain Velasquez,Brad Morris,TKO (punches)
Jonathan Goulet,Kuniyoshi Hironaka,TKO (punches)
Kenny Florian,Joe Lauzon,TKO (punches)
Gray Maynard,Frankie Edgar,"Decision (unanimous) (30–27, 30–27, 30–27)"
Thiago Alves,Karo Parisyan,TKO (punches)
Matt Hamill,Tim Boetsch,TKO (punches)
Nate Diaz,Kurt Pellegrino,Submission (triangle choke)
James Irvin,Houston Alexander,TKO (superman punch and punches)
Josh Neer,Din Thomas,"Decision (unanimous) (30–27, 30–27, 30–27)"
Marcus Aurelio,Ryan Roberts,Submission (armbar)
Manvel Gamburyan,Jeff Cox,Submission (guillotine choke)
Clay Guida,Samy Schiavo,TKO (punches)
George Sotiropoulos,Roman Mitichyan,TKO (punches)
Anthony Johnson,Tom Speer,KO (punch)
Anderson Silva(UFC Champion),Dan Henderson(Pride Champion),Submission (rear-naked choke)
Heath Herring,Cheick Kongo,"Decision (split) (29–28, 28–29, 29–28)"
Chris Leben,Alessio Sakara,TKO (punches)
Yushin Okami,Evan Tanner,KO (knee)
Jon Fitch,Chris Wilson,"Decision (unanimous) (30–27, 29–28, 30–27)"
Andrei Arlovski,Jake O'Brien,TKO (punches)
Josh Koscheck,Dustin Hazelett,TKO (head kick and punches)
Diego Sanchez,David Bielkheden,TKO (submission to strikes)
Luigi Fioravanti,Luke Cummo,"Decision (unanimous) (30–27, 30–27, 30–27)"
Jorge Gurgel,John Halverson,"Decision (unanimous) (29–28, 29–28, 30–27)"
Antônio Rodrigo Nogueira,Tim Sylvia,Submission (guillotine choke)
Frank Mir,Brock Lesnar,Submission (kneebar)
Nate Marquardt,Jeremy Horn,Submission (guillotine choke)
Ricardo Almeida,Rob Yundt,Submission (guillotine choke)
Tyson Griffin,Gleison Tibau,"Decision (unanimous) (30–27, 30–27, 30–27)"
Chris Lytle,Kyle Bradley,TKO (punches)
Marvin Eastman,Terry Martin,"Decision (unanimous) (29–28, 30–27, 30–27)"
Tim Boetsch,David Heath,TKO (slam and punches)
Rob Emerson,Keita Nakamura,"Decision (split) (30–27, 28–29, 30–27)"
Mike Swick,Josh Burkman,"Decision (majority) (29–28, 29–28, 29–29)"
Patrick Côté,Drew McFedries,TKO (punches)
Thiago Tavares,Michihiro Omigawa,"Decision (unanimous) (30–27, 29–28, 30–27)"
Nate Diaz,Alvin Robinson,Submission (triangle choke)
Kurt Pellegrino,Alberto Crane,TKO (punches)
Gray Maynard,Dennis Siver,"Decision (unanimous) (29–28, 30–27, 29–28)"
Jeremy Stephens,Cole Miller,TKO (punches and elbows)
Corey Hill,Joe Veres,TKO (punches)
Matt Wiman,Justin Buchholz,Submission (rear-naked choke)
B.J. Penn,Joe Stevenson,Submission (rear-naked choke)
Fabrício Werdum,Gabriel Gonzaga,TKO (punches)
Marcus Davis,Jess Liaudin,KO (punch)
Wilson Gouveia,Jason Lambert,KO (punch)
Jorge Rivera,Kendall Grove,TKO (punches)
Sam Stout,Per Eklund,"Decision (unanimous) (29–27, 30–27, 30–27)"
Alessio Sakara,James Lee,TKO (punches)
Paul Kelly,Paul Taylor,"Decision (unanimous) (30–27, 30–27, 30–27)"
Antoni Hardonk,Colin Robinson,TKO (leg kicks)
Georges St-Pierre,Matt Hughes,Verbal Submission (armbar)
Chuck Liddell,Wanderlei Silva,"Decision (unanimous) (29–28, 30–27, 30–27)"
Eddie Sanchez,Soa Palelei,TKO (punches)
Lyoto Machida,Rameau Thierry Sokoudjou,Submission (arm-triangle choke)
Rich Clementi,Melvin Guillard,Submission (rear-naked choke)
James Irvin,Luiz Cane,Disqualification (illegal knee)
Manvel Gamburyan,Nate Mohr,Submission (ankle lock)
Dean Lister,Jordan Radev,"Decision (unanimous) (30–27, 30–27, 30–27)"
Roan Carneiro,Tony DeSouza,TKO (punches)
Mark Bocek,Doug Evans,"Decision (unanimous) (29–28, 29–28, 29–28)"
Roger Huerta,Clay Guida,Submission (rear-naked choke)
Mac Danzig,Tom Speer,Submission (rear-naked choke)
Jon Koppenhaver,Jared Rollins,TKO (punches)
George Sotiropoulos,Billy Miles,Submission (rear-naked choke)
Ben Saunders,Dan Barrera,"Decision (unanimous) (30–27, 29–28, 30–27)"
Matt Arroyo,John Kolosci,Submission (armbar)
Jonathan Goulet,Paul Georgieff,Technical Submission (rear-naked choke)
Roman Mitichyan,Dorian Price,Submission (ankle lock)
Troy Mandaloniz,Richie Hightower,TKO (punches)
Rashad Evans,Michael Bisping,"Decision (split) (29–28, 28–29, 29–28)"
Thiago Silva,Houston Alexander,TKO (punches)
Karo Parisyan,Ryo Chonan,"Decision (unanimous) (30–27, 30–27, 30–27)"
Ed Herman,Joe Doerksen,KO (punch)
Frankie Edgar,Spencer Fisher,"Decision (unanimous) (30–27, 30–27, 30–26)"
Thiago Alves,Chris Lytle,TKO (doctor stoppage)
Joe Lauzon,Jason Reinhardt,Submission (rear-naked choke)
Marcus Aurélio,Luke Caudillo,TKO (punches)
Akihiro Gono,Tamdan McCrory,Submission (armbar)
Anderson Silva(c),Rich Franklin,TKO (knees)
Tim Sylvia,Brandon Vera,"Decision (unanimous) (29–27, 29–28, 29–28)"
Alvin Robinson,Jorge Gurgel,"Decision (unanimous) (29–28, 29–27, 29–27)"
Stephan Bonnar,Eric Schafer,TKO (punches)
Alan Belcher,Kalib Starnes,TKO (doctor stoppage)
Yushin Okami,Jason MacDonald,"Decision (unanimous) (30–27, 30–27, 30–27)"
Demian Maia,Ryan Jensen,Submission (rear-naked choke)
Josh Burkman,Forrest Petz,"Decision (split) (29–28, 29–28, 28–29)"
Matt Grice,Jason Black,"Decision (split) (28–29, 29–28, 29–28)"
Keith Jardine,Chuck Liddell,"Decision (split) (29–28, 28–29, 29–28)"
Forrest Griffin,Maurício Rua,Submission (rear-naked choke)
Jon Fitch,Diego Sanchez,"Decision (split) (30–27, 28–29, 29–28)"
Lyoto Machida,Kazuhiro Nakamura,"Decision (unanimous) (30–27, 30–27, 30–27)"
Tyson Griffin,Thiago Tavares,"Decision (unanimous) (29–28, 30–27, 29–28)"
Rich Clementi,Anthony Johnson,Submission (rear-naked choke)
Jeremy Stephens,Diego Saraiva,"Decision (unanimous) (30–27, 30–27, 30–27)"
Christian Wellisch,Scott Junk,Submission (heel hook)
Matt Wiman,Michihiro Omigawa,"Decision (unanimous) (29–28, 30–27, 29–28)"
Kenny Florian,Din Thomas,Submission (rear-naked choke)
Chris Leben,Terry Martin,KO (punch)
Nate Diaz,Junior Assuncao,Submission (guillotine choke)
Nate Quarry,Pete Sell,KO (punch)
Dustin Hazelett,Jonathan Goulet,Submission (armbar)
Thiago Alves,Kuniyoshi Hironaka,TKO (punch and knee)
Cole Miller,Leonard Garcia,"Decision (unanimous) (30–27, 29–28, 30–27)"
Luke Cummo,Edilberto de Oliveira,TKO (punches)
Gray Maynard,Joe Veres,KO (punch)
Quinton Jackson,Dan Henderson,"Decision (unanimous) (48–47, 49–46, 49–46)"
Michael Bisping,Matt Hamill,"Decision (split) (29–28, 27–30, 29–28)"
Cheick Kongo,Mirko Cro Cop,"Decision (unanimous) (29–28, 29–28, 29–28)"
Marcus Davis,Paul Taylor,Submission (armbar)
Houston Alexander,Alessio Sakara,TKO (knee and punches)
Gleison Tibau,Terry Etim,"Decision (unanimous) (30–27, 30–27, 30–27)"
Thiago Silva,Tomasz Drwal,TKO (punches)
Dennis Siver,Naoyuki Kotani,KO (punch)
Jess Liaudin,Anthony Torres,TKO (punches)
Randy Couture(c),Gabriel Gonzaga,TKO (punches)
Georges St-Pierre,Josh Koscheck,"Decision (unanimous) (30–27, 29–28, 29–28)"
Roger Huerta,Alberto Crane,TKO (punches)
Joe Stevenson,Kurt Pellegrino,"Decision (unanimous) (30–27, 30–27, 29–28)"
Patrick Côté,Kendall Grove,KO (punches)
Renato Sobral,David Heath,Technical submission (anaconda choke)
Frank Mir,Antoni Hardonk,Submission (kimura)
Thales Leites,Ryan Jensen,Submission (armbar)
Clay Guida,Marcus Aurélio,"Decision (split) (30–27, 28–29, 30–27)"
Anderson Silva(c),Nate Marquardt,TKO (punches)
Tito Ortiz,Rashad Evans,"Draw (unanimous) (28–28, 28–28, 28–28)"
Sean Sherk(c),Hermes França,"Decision (unanimous) (50–45, 50–45, 49–46)"
Antônio Rodrigo Nogueira,Heath Herring,"Decision (unanimous) (29–28, 29–28, 29–28)"
Kenny Florian,Alvin Robinson,TKO (submission to punches)
Stephan Bonnar,Mike Nickels,Submission (rear-naked choke)
Jorge Gurgel,Diego Saraiva,"Decision (unanimous) (30–27, 30–27, 30–27)"
Chris Lytle,Jason Gilliam,Submission (inverted triangle choke and americana)
Frankie Edgar,Mark Bocek,TKO (punches)
B.J. Penn,Jens Pulver,Submission (rear-naked choke)
Nate Diaz,Manvel Gamburyan,TKO (shoulder injury)
Thales Leites,Floyd Sword,Submission (arm-triangle choke)
Roger Huerta,Doug Evans,TKO (punches)
Joe Lauzon,Brandon Melendez,Submission (triangle choke)
Cole Miller,Andy Wang,TKO (head kick and punches)
Gray Maynard,Rob Emerson,No Contest (Double TKO slam)
Leonard Garcia,Allen Berube,Submission (rear-naked choke)
Matt Wiman,Brian Geraghty,TKO (punches)
Rich Franklin,Yushin Okami,"Decision (unanimous) (29–28, 29–28, 29–28)"
Forrest Griffin,Hector Ramirez,"Decision (unanimous) (30–27, 30–27, 30–27)"
Jason MacDonald,Rory Singer,TKO (punches and elbows)
Tyson Griffin,Clay Guida,"Decision (split) (29–28, 28–29, 29–28)"
Ed Herman,Scott Smith,Submission (rear-naked choke)
Eddie Sanchez,Colin Robinson,TKO (punches)
Dustin Hazelett,Steven Lynch,Submission (anaconda choke)
Marcus Davis,Jason Tan,KO (punch)
Spencer Fisher,Sam Stout,"Decision (unanimous) (30–27, 30–27, 30–27)"
Thiago Tavares,Jason Black,Submission (triangle choke)
Jon Fitch,Roan Carneiro,Submission (rear-naked choke)
Drew McFedries,Jordan Radev,KO (punches)
Forrest Petz,Luigi Fioravanti,"Decision (unanimous) (29–28, 30–27, 29–28)"
Tamdan McCrory,Pete Spratt,Submission (triangle choke)
Gleison Tibau,Jeff Cox,Submission (arm-triangle choke)
Anthony Johnson,Chad Reiner,KO (punches)
Nate Mohr,Luke Caudillo,"Decision (unanimous) (29–28, 30–27, 29–28)"
Quinton Jackson,Chuck Liddell(c),KO (punches)
Karo Parisyan,Josh Burkman,"Decision (unanimous) (30–27, 30–27, 29–28)"
Terry Martin,Ivan Salaverry,KO (suplex and punches)
Houston Alexander,Keith Jardine,KO (punches)
Kalib Starnes,Chris Leben,"Decision (unanimous) (29–28, 30–27, 29–28)"
Thiago Silva,James Irvin,TKO (knee injury)
Alan Belcher,Sean Salmon,Submission (guillotine choke)
Din Thomas,Jeremy Stephens,Submission (armbar)
Wilson Gouveia,Carmelo Marrero,Submission (guillotine choke)
Gabriel Gonzaga,Mirko Cro Cop,KO (head kick)
Andrei Arlovski,Fabrício Werdum,"Decision (unanimous) (30–27, 30–27, 30–27)"
Michael Bisping,Elvis Sinosic,TKO (punches)
Lyoto Machida,David Heath,"Decision (unanimous) (30–27, 30–26, 30–27)"
Cheick Kongo,Assuerio Silva,"Decision (majority) (29–28, 29–28, 28–28)"
Terry Etim,Matt Grice,Submission (guillotine choke)
Junior Assuncao,David Lee,Submission (rear-naked choke)
Alessio Sakara,Victor Valimaki,TKO (punches)
Jess Liaudin,Dennis Siver,Submission (armbar)
Paul Taylor,Edilberto de Oliveira,TKO (head kick and punches)
Matt Serra,Georges St-Pierre(c),TKO (punches)
Josh Koscheck,Diego Sanchez,"Decision (unanimous) (30–27, 30–27, 30–27)"
Roger Huerta,Leonard Garcia,"Decision (unanimous) (30–27, 30–27, 30–27)"
